"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
29,47.5,47.5,52.5,"Flurlingen ZH","In Flurlingen hat die Initiative ""Stopp Prämien-Schock"" keine Mehrheit gefunden: 52,5 Prozent lehnen die Vorlage ab."
31,54.7,54.7,45.3,"Henggart ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger in Henggart sagen Ja zur Initiative ""Stopp Prämien-Schock""."
33,59.2,59.2,40.8,"Kleinandelfingen ZH","59,2 Prozent der Stimmbürgerinnen und Stimmbürger von Kleinandelfingen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
34,55.6,55.6,44.4,"Laufen-Uhwiesen ZH","55,6 Prozent der Stimmbürgerinnen und Stimmbürger in Laufen-Uhwiesen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
35,67.2,67.2,32.8,"Marthalen ZH","67,2 Prozent der Stimmbürgerinnen und Stimmbürger von Marthalen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
37,58.4,58.4,41.6,"Ossingen ZH","58,4 Prozent der Stimmbürgerinnen und Stimmbürger von Ossingen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
38,60.3,60.3,39.7,"Rheinau ZH","60,3 Prozent der Stimmbürgerinnen und Stimmbürger in Rheinau sagen Ja zur Initiative ""Stopp Prämien-Schock""."
39,65.6,65.6,34.4,"Thalheim an der Thur ZH","65,6 Prozent der Stimmbürgerinnen und Stimmbürger in Thalheim an der Thur sagen Ja zur Initiative ""Stopp Prämien-Schock""."
40,56.2,56.2,43.8,"Trüllikon ZH","In Trüllikon ist die Initiative ""Stopp Prämien-Schock"" mit 56,2 Prozent der Stimmen angenommen worden."
41,63.5,63.5,36.5,"Truttikon ZH","In Truttikon ist die Initiative ""Stopp Prämien-Schock"" mit 63,5 Prozent der Stimmen angenommen worden."
43,64.2,64.2,35.8,"Volken ZH","64,2 Prozent der Stimmbürgerinnen und Stimmbürger in Volken sagen Ja zur Initiative ""Stopp Prämien-Schock""."
51,59.1,59.1,40.9,"Bachenbülach ZH","In Bachenbülach ist die Initiative ""Stopp Prämien-Schock"" mit 59,1 Prozent der Stimmen angenommen worden."
52,50,0,0,"Bassersdorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
53,58.5,58.5,41.5,"Bülach ZH","58,5 Prozent der Stimmbürgerinnen und Stimmbürger von Bülach haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
54,57.8,57.8,42.2,"Dietlikon ZH","In Dietlikon ist die Initiative ""Stopp Prämien-Schock"" mit 57,8 Prozent der Stimmen angenommen worden."
55,55.5,55.5,44.5,"Eglisau ZH","55,5 Prozent der Stimmbürgerinnen und Stimmbürger von Eglisau haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
56,65.5,65.5,34.5,"Embrach ZH","65,5 Prozent der Stimmbürgerinnen und Stimmbürger in Embrach sagen Ja zur Initiative ""Stopp Prämien-Schock""."
57,60,60,40,"Freienstein-Teufen ZH","60 Prozent der Stimmbürgerinnen und Stimmbürger von Freienstein-Teufen haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
58,63.3,63.3,36.7,"Glattfelden ZH","In Glattfelden ist die Initiative ""Stopp Prämien-Schock"" mit 63,3 Prozent der Stimmen angenommen worden."
59,67.4,67.4,32.6,"Hochfelden ZH","In Hochfelden ist die Initiative ""Stopp Prämien-Schock"" mit 67,4 Prozent der Stimmen angenommen worden."
60,69.8,69.8,30.2,"Höri ZH","In Höri ist die Initiative ""Stopp Prämien-Schock"" mit 69,8 Prozent der Stimmen angenommen worden."
61,56.1,56.1,43.9,"Hüntwangen ZH","In Hüntwangen ist die Initiative ""Stopp Prämien-Schock"" mit 56,1 Prozent der Stimmen angenommen worden."
62,63,63,37,"Kloten ZH","63 Prozent der Stimmbürgerinnen und Stimmbürger von Kloten haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
63,62.7,62.7,37.3,"Lufingen ZH","In Lufingen ist die Initiative ""Stopp Prämien-Schock"" mit 62,7 Prozent der Stimmen angenommen worden."
64,50,0,0,"Nürensdorf ZH","Die Resultate dieser Gemeinde sind noch nicht bekannt."
65,63.2,63.2,36.8,"Oberembrach ZH","63,2 Prozent der Stimmbürgerinnen und Stimmbürger von Oberembrach haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
66,63.5,63.5,36.5,"Opfikon ZH","63,5 Prozent der Stimmbürgerinnen und Stimmbürger in Opfikon sagen Ja zur Initiative ""Stopp Prämien-Schock""."
67,59,59,41,"Rafz ZH","In Rafz ist die Initiative ""Stopp Prämien-Schock"" mit 59 Prozent der Stimmen angenommen worden."
68,69.4,69.4,30.6,"Rorbas ZH","69,4 Prozent der Stimmbürgerinnen und Stimmbürger in Rorbas sagen Ja zur Initiative ""Stopp Prämien-Schock""."
69,58.7,58.7,41.3,"Wallisellen ZH","58,7 Prozent der Stimmbürgerinnen und Stimmbürger in Wallisellen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
70,66.8,66.8,33.2,"Wasterkingen ZH","In Wasterkingen ist die Initiative ""Stopp Prämien-Schock"" mit 66,8 Prozent der Stimmen angenommen worden."
71,53.9,53.9,46.1,"Wil ZH","In Wil ZH ist die Initiative ""Stopp Prämien-Schock"" mit 53,9 Prozent der Stimmen angenommen worden."
72,59.6,59.6,40.4,"Winkel ZH","59,6 Prozent der Stimmbürgerinnen und Stimmbürger in Winkel sagen Ja zur Initiative ""Stopp Prämien-Schock""."
81,59.4,59.4,40.6,"Bachs ZH","In Bachs ist die Initiative ""Stopp Prämien-Schock"" mit 59,4 Prozent der Stimmen angenommen worden."
82,57,57,43,"Boppelsen ZH","57 Prozent der Stimmbürgerinnen und Stimmbürger in Boppelsen sagen Ja zur Initiative ""Stopp Prämien-Schock""."
83,62.4,62.4,37.6,"Buchs ZH","62,4 Prozent der Stimmbürgerinnen und Stimmbürger in Buchs ZH sagen Ja zur Initiative ""Stopp Prämien-Schock""."
84,62.3,62.3,37.7,"Dällikon ZH","62,3 Prozent der Stimmbürgerinnen und Stimmbürger von Dällikon haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
85,63.3,63.3,36.7,"Dänikon ZH","63,3 Prozent der Stimmbürgerinnen und Stimmbürger in Dänikon sagen Ja zur Initiative ""Stopp Prämien-Schock""."
86,62.9,62.9,37.1,"Dielsdorf ZH","In Dielsdorf ist die Initiative ""Stopp Prämien-Schock"" mit 62,9 Prozent der Stimmen angenommen worden."
87,67.1,67.1,32.9,"Hüttikon ZH","67,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hüttikon haben sich für die Initiative ""Stopp Prämien-Schock"" ausgesprochen."
88,59.1,59.1,40.9,"Neerach ZH","In Neerach ist die Initiative ""Stopp Prämien-Schock"" mit 59,1 Prozent der Stimmen angenommen worden."
89,64.5,64.5,35.5,"Niederglatt ZH","64,5 Prozent der Stimmbürgerinnen und Stimmbürger in Niederglatt sagen Ja zur Initiative ""Stopp Prämien-Schock""."
